Ranking,Jogador,Nome,Clube,Idade,Posição,Partidas,Minutos,Gols,Assistências,Chutes a gol,Passes importantes,Dribles por partida,Faltas sofridas,Nota
1,Lionel Messi,Messi,Barcelona, 32,FW,21,1891,19,12,4.8,2.5,5.4,1.7,8.61
2,Neymar,Neymar,Paris Saint-Germain, 28,FW,15,1322,13,6,4.7,2.6,6,4.1,8.58
3,Robert Lewandowski, Lewandowski,Bayern Munich, 31,FW,23,2042,25,3,4.7,1.2,2.1,1.5,8.16
4,Kylian Mbappé,Mbappé,Paris Saint-Germain, 21,FW,17,1516,18,5,4.4,2,2.8,1.1,8.14
5,Josip Ilicic, Ilicic,Atalanta, 32,FW,19,1492,15,5,3.6,2.5,2.6,2.4,7.95
6,Kevin De Bruyne,De Bruyne,Manchester City, 28,FW,25,2156,8,16,2.9,3.7,1.4,0.7,7.92
7,Cristiano Ronaldo,Ronaldo,Juventus, 35,FW,22,1945,21,3,5.9,1.7,1.8,1.9,7.9
8,Jadon Sancho,Sancho,Borussia Dortmund, 20,FW,21,1807,14,15,2,2.3,2.6,0.6,7.9
9,Ángel Di María,Di María,Paris Saint-Germain, 32,FW,23,2005,8,14,2.8,3,2.6,0.8,7.75
10,Dimitri Payet,Payet,Marseille, 33,FW,22,1937,9,4,2.9,4,2.3,1.4,7.73
11,Ciro Immobile,Immobile,Lazio, 30,FW,25,2186,27,7,3.9,1.8,0.7,1.1,7.7
12,Luis Alberto,Alberto,Lazio, 27,FW,25,2152,4,12,2.8,3,2.1,1,7.69
13,Adama Traoré,Traoré,Wolverhampton Wanderers, 24,FW,22,2073,4,7,1.2,1.4,5.2,2.3,7.61
14,Serge Gnabry,Gnabry,Bayern Munich, 24,FW,19,1619,11,9,3.3,1.9,1.8,0.9,7.6
15,Riyad Mahrez,Mahrez,Manchester City, 29,M,15,1386,7,8,2.3,2,1.7,1,7.59
16,Timo Werner,Werner,RasenBallsport Leipzig, 24,FW,24,2052,21,7,3.8,1.4,1.8,0.9,7.58
17,Duván Zapata,Zapata,Atalanta, 29,FW,13,1064,11,5,3.5,1.3,0.7,1.4,7.58
18,Luis Suárez,Suárez,Barcelona, 33,FW,15,1279,11,7,3.1,1.1,1.1,0.8,7.56
19,Filip Kostic,Kostic,Eintracht Frankfurt, 27,FW,23,2059,4,8,2.7,2.6,2.9,1,7.55
20,Thiago,Thiago,Bayern Munich, 29,M,19,1666,3,0,0.8,0.9,3,0.5,7.54
21,Casemiro,Casemiro,Real Madrid, 28,M,25,2220,3,2,1.4,0.4,0.8,1.6,7.54
22,Alphonso Davies,Davies,Bayern Munich, 19,M,17,1592,1,4,0.5,1.3,3,1.1,7.54
23,Christopher Nkunku,Nkunku,RasenBallsport Leipzig, 22,FW,15,1451,4,12,1.7,2.8,1.8,1.3,7.52
24,Alejandro Gómez, Gómez,Atalanta, 32,FW,23,1905,6,10,2.9,2.7,1.8,2.2,7.52
25,Edin Dzeko,Dzeko,Roma, 34,FW,23,2154,12,4,3.7,1.4,1.2,1.3,7.5
26,Marco Reus,Reus,Borussia Dortmund, 30,FW,18,1502,11,5,2.5,1.2,1.4,0.9,7.5
27,Ricardo Pereira,Pereira,Leicester, 26,M,28,2520,3,2,0.6,1,2.1,1.3,7.5
28,Sadio Mané,Mané,Liverpool, 28,FW,24,2085,14,7,2.3,1.6,1.9,1.3,7.5
29,Domenico Berardi,Berardi,Sassuolo, 25,FW,19,1614,9,5,4.1,1.7,1.4,2.4,7.49
30,Mohamed Salah,Salah,Liverpool, 27,FW,26,2250,16,6,3.8,1.8,1.7,0.6,7.45
31,Téji Savanier,Savanier,Montpellier, 28,M,18,1532,6,2,1.6,1.5,1.7,2.9,7.45
32,Romelu Lukaku,Lukaku,Inter, 26,FW,24,2143,17,2,2.9,1.4,0.6,0.4,7.43
33,Suat Serdar,Serdar,Schalke 04, 23,M,17,1475,7,0,1.8,0.6,2.7,1.7,7.41
34,Nabil Fekir,Fekir,Real Betis, 26,FW,21,1822,7,3,3.3,1.1,3.3,3.8,7.39
35,Karim Benzema,Benzema,Real Madrid, 32,FW,25,2221,14,6,3.7,1.7,1,0.4,7.39
36,Paulo Dybala,Dybala,Juventus, 26,FW,17,1525,7,4,3.1,2,1.9,1.5,7.37
37,Raphael Guerreiro,Guerreiro,Borussia Dortmund, 26,M,17,1602,5,2,1.4,1.2,1.5,0.6,7.36
38,Wilfred Ndidi,Ndidi,Leicester, 23,M,20,1892,2,1,0.8,0.5,0.7,0.7,7.36
39,Achraf Hakimi, Hakimi,Borussia Dortmund, 21,M,22,2045,3,10,1,1.2,2.4,1.5,7.36
40,Mikel Merino,Merino,Real Sociedad, 23,M,25,2252,3,1,1.1,1,1,2.3,7.36
41,Wissam Ben Yedder,Ben Yedder,Monaco, 29,FW,25,2173,18,4,2.5,1.7,1.3,0.7,7.35
42,James Maddison,Maddison,Leicester, 23,M,27,2404,6,3,2.2,2.7,1.6,2.9,7.34
43,Joshua Kimmich,kimmich,Bayern Munich, 25,M,24,2097,2,4,0.7,2.3,0.8,1.4,7.34
44,Marcus Rashford,Rashford,Manchester United, 22,FW,22,1882,14,4,3.4,1.1,2,1.3,7.34
45,Idrissa Gueye,Gueye,Paris Saint-Germain, 30,M,19,1655,1,2,0.6,1.2,1.1,1.1,7.33
46,Thomas Müller,Müller,Bayern Munich, 30,FW,18,1558,6,16,1.5,2.4,0.3,0.8,7.33
47,Jack Grealish,Grealish,Aston Villa, 24,M,26,2334,7,6,2.1,2.7,2.2,4.9,7.33
48,Marcus Thuram,Thuram,Borussia M.Gladbach, 22,FW,22,1801,6,8,1.8,1,2.3,2,7.33
49,Sergej Milinkovic-Savic,Milinkovic-Savic,Lazio, 25,M,24,2051,4,4,2,1.2,1.2,1,7.33
50,Gerard Moreno, Moreno,Villarreal, 28,FW,24,2063,11,3,2.8,1.6,1.9,1.4,7.32
