Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Unknown country,19-Dec-1943,PB2B-1 Canso A (PBY-5A),9786,RCAF,,unknown,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77582,USAAF,,,A1
Unknown country,29-Jan-1945,Curtiss C-46D,42-101039,USAAF,,,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77645,USAAF,,,A1
Unknown country,??-???-1942,Junkers Ju-52/3mg4e,D-AXFH,German AF,,,A1
Atlantic Ocean,14-Oct-1947,Boeing 314A,NC18612,American International,0,"near Gander, NL, ...",A1
Atlantic Ocean,10-Oct-1956,Douglas R6D-1 (DC-6),131588,US Navy,59,"near Land's End, UK",A1
Unknown country,01-May-1944,Douglas R4D-1 (DC-3),3143,USMC,,unknown,A1
Unknown country,18-Apr-1951,CASA 352 (Ju-52),T.2-160,Spanish AF,,,U1
Atlantic Ocean,14-Dec-1942,Consolidated PBY-5A Catalina,7245,US Navy,,"near Natal, Brazil",A1
Antarctica,06-Jan-1960,Douglas R4D-8 (Super DC-3),17154,US Navy,0,Byrd Station,A1
Atlantic Ocean,19-Dec-1943,Short Sunderland III,DW106,RAF,9,near Portuguese c...,A1
Atlantic Ocean,30-Oct-2017,Boeing 767-338ER (WL),C-FOGT,WestJet,0,Toronto - Lo...,A2
Atlantic Ocean,23-Mar-1951,Douglas C-124A Globemaster II,49-244,USAF,53,"near Shannon, Ire...",A1
Unknown country,19-Sep-1945,Douglas C-47A (DC-3),42-93237,USAAF,,unknown,A1
Unknown country,24-Jan-1945,Douglas C-47A (DC-3),43-15915,USAAF,,unknown,A1
Unknown country,date unk.,BN-2A-21 Islander,F-ODHO,Unknown,,,U1
Unknown country,13-Mar-1945,Douglas R4D-5 (DC-3),17202,US Navy,,unknown,A1
Unknown country,30-Apr-1945,Curtiss C-46A,42-107329,USAAF,,,A1
Unknown country,12-May-1993,CASA C-212-M Aviocar 200,T-404,Angolan AF,,,U1
Unknown country,14-14-1944,Douglas C-47A (DC-3),42-93244,USAAF,,unknown,A1
Unknown country,30-Jun-1944,Douglas C-47A (DC-3),42-24262,USAAF,,unknown,U1
Antarctica,14-Dec-1960,Douglas C-47B (DC-3),A65-81,RAAF,0,Mawson Station,O1
Pacific Ocean,05-Mar-1986,Learjet 24D,N97DM,Flight International,2,near San Clemente...,A1
Unknown country,??-???-1978,Nord 2501D Noratlas,52-171,Hellenic AF,,unknown,A1
Unknown country,date unk.,Antonov An-32A,-,Antonov Design Bureau,,,A1
North Pole,15-May-2000,Antonov An-2T,N72KS,Greatland Resource,0,North Pole,A1
Unknown country,08-Feb-1945,Curtiss C-46D,44-77491,USAAF,,,A1
Pacific Ocean,27-Feb-1945,PB2B-1 Catalina,44244,US Navy,6,South Pacific,A1
Unknown country,27-Aug-1948,Douglas C-47 (DC-3),AN-ACZ,LANICA,,,U1
Unknown country,27-Nov-1944,Douglas C-47B (DC-3),43-16279,USAAF,,unknown,A1
Unknown country,04-Apr-1950,Curtiss C-46,,Republic of China AF,0,Hong Kong-Ka...,C1
