Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Australia,07-Dec-2016,Boeing 737-8FE (WL),VH-VUP,Virgin Australia Airlines,0,Hobart Airpo...,A2
Ukraine,19-Feb-1987,Antonov An-26,,Soviet AF,9,near Stadnitsa,A1
Iran,19-Feb-2003,Ilyushin Il-76MD,15-2280,Iranian Revolutionary Guard,275,near Kerman,A1
Germany,11-May-1990,Transall C-160D,50+39,German AF,10,near Rodenbach,A1
Russia,04-Jan-1943,Junkers Ju-52/3m,,German AF,0,Ostrow,A1
Mexico,24-Dec-1957,Lascurain No.4 Aura,XB-ZEU,Ángel Lascuráin y Osio,2,near Mexico City ...,A1
United Kingdom,17-Oct-1950,Douglas C-47A (DC-3),G-AGIW,BEA,28,Mill Hill,A1
USA,30-Nov-1947,Douglas C-54A (DC-4),NC91009,Alaska Airlines,8+ 1,Seattle/Taco...,A1
USA,11-Jul-1980,Boeing 727,,Northwest Orient Airlines,0,Seattle/Taco...,H2
Cameroon,09-Aug-1969,Lockheed L-1049G Super Constellatio,F-BGNC,Catair,4,near Douala,A1
Cuba,10-Nov-1972,DC-9,,Southern Airways,0,Havana,H2
USA,20-Dec-1972,Convair CV-880,N8807E,Delta Air Lines,0,Chicago-O'Ha...,A1
Yemen,02-Mar-2014,Antonov An-26,1177,Yemen AF,0,near Hadhramaut,A2
Romania,14-Nov-1989,Antonov An-2R,YR-PMG,Aviatia Utilitara,,Sânmartin,A1
USA,06-Sep-1953,Lockheed L-1049 Super Constellation,N6214C,Northwest Orient Airlines,0,Tacoma-McCho...,A1
Brazil,06-Mar-1955,Douglas DC-3A,PP-YPZ,REAL,5,Vitoria da C...,A1
United Kingdom,26-Jul-1955,Handley Page Hastings C.2,WJ341,RAF,0,Abingdon RAF...,A1
Brazil,06-Sep-1963,SE-210 Caravelle VI-R,PP-PDU,Panair do Brasil,0,"Gamela, PE",A1
Mali,??-OCT-1980,Dornier Do 28D-1 Skyservant,F-BTCU,Hémet Exploration,0,"Falea, Kényé...",A1
Australia,21-Aug-1997,BN-2A-26 Islander,VH-LHA,Laynhapuy Homelands Association,0,Gan Gan Airp...,A2
Martinique,,,,,,,
Philippines,09-Feb-1947,Douglas C-47B (DC-3),44-77205,USAAF,,Manila-Nicho...,A1
USA,17-Oct-1946,Douglas C-47A (DC-3),NC38942,National Air Transport Service,13,"Laramie, WY",A1
Canada,09-Nov-2017,DHC-8-402Q Dash 8,C-GYJZ,"Air Canada Express, opb Jazz Aviation",0,Toronto City...,A2
India,03-Jun-1943,Douglas C-47 (DC-3),41-38726,USAAF,,Chabua Airfield,A1
Sweden,25-Jan-1974,SE-210 Caravelle III,OY-KRA,SAS,0,Stockholm-Ar...,O1
Canada,15-Apr-2018,Cessna 550 Citation Bravo,N4AT,Private,0,Winnipeg-Jam...,A2
Brazil,15-Aug-1997,Cessna 550 Citation II,PT-LML,Riana Táxi Aéreo,2,near Cocal do Sul...,A1
Denmark,25-Jun-1982,DC-8-62,LN-MOW,SAS,0,København-Ka...,A2
Jamaica,22-Mar-1949,Lockheed 14-08 Super Electra,CF-TCK,Kenting Aviation,0,Kingston-Pal...,A1
Indonesia,25-Oct-1948,Douglas C-47 (DC-3),HS-PC103,Pacific Overseas Airlines,,near Sumatra Island,C1
Argentina,15-Jul-1938,Douglas DC-3-228,NC18114,Pan Am,0+ 1,"Morón, BA",A1
